X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
598,-1.02E+00,1.11E+01,,,,
599,-2.32E-01,9.68E+00,,,,
600,-5.28E-01,1.10E+01,,,,
601,-8.40E-01,1.07E+01,,,,
602,-7.92E-01,1.10E+01,,,,
603,-4.88E-01,1.07E+01,,,,
604,-5.04E-01,1.07E+01,,,,
605,-7.76E-01,1.10E+01,,,,
606,-8.00E-01,1.10E+01,,,,
607,-5.12E-01,1.07E+01,,,,
608,-4.96E-01,1.07E+01,,,,
609,-8.00E-01,1.10E+01,,,,
610,-7.76E-01,1.10E+01,,,,
611,-5.12E-01,1.07E+01,,,,
612,-7.76E-01,1.07E+01,,,,
613,-4.80E-01,1.10E+01,,,,
614,-7.76E-01,1.10E+01,,,,
615,-4.96E-01,1.07E+01,,,,
616,-8.00E-01,1.10E+01,,,,
617,-4.64E-01,1.06E+01,,,,
618,-4.64E-01,1.10E+01,,,,
619,-7.76E-01,1.07E+01,,,,
620,-4.72E-01,1.10E+01,,,,
621,-7.92E-01,1.07E+01,,,,
622,-7.92E-01,1.10E+01,,,,
623,-4.96E-01,1.07E+01,,,,
624,-7.68E-01,1.10E+01,,,,
625,-4.72E-01,1.07E+01,,,,
626,-7.92E-01,1.10E+01,,,,
627,-5.04E-01,1.07E+01,,,,
628,-4.64E-01,1.07E+01,,,,
629,-7.68E-01,1.10E+01,,,,
630,-8.32E-01,1.10E+01,,,,
631,-4.72E-01,1.07E+01,,,,
632,-1.02E+00,1.11E+01,,,,
633,6.48E-01,9.40E+00,,,,
634,-1.02E+00,1.11E+01,,,,
635,6.88E-01,9.52E+00,,,,
636,-1.02E+00,1.11E+01,,,,
637,4.88E-01,9.92E+00,,,,
638,-1.02E+00,1.11E+01,,,,
639,4.80E-01,9.88E+00,,,,
640,-1.02E+00,1.11E+01,,,,
641,4.48E-01,1.00E+01,,,,
642,3.20E-01,1.11E+01,,,,
643,-1.02E+00,1.02E+01,,,,
644,-1.02E+00,1.11E+01,,,,
645,2.56E-01,1.01E+01,,,,
646,-1.02E+00,1.11E+01,,,,
647,-1.28E-01,1.01E+01,,,,
648,-1.02E+00,1.11E+01,,,,
649,2.08E-01,1.02E+01,,,,
650,3.12E-01,1.11E+01,,,,
651,-1.02E+00,1.04E+01,,,,
652,-1.02E+00,1.11E+01,,,,
653,2.32E-01,1.03E+01,,,,
654,-1.02E+00,1.11E+01,,,,
655,2.40E-01,1.05E+01,,,,
656,-1.02E+00,1.11E+01,,,,
657,-5.60E-02,1.04E+01,,,,
658,-4.72E-01,1.11E+01,,,,
659,-1.02E+00,1.07E+01,,,,
660,-1.02E+00,1.11E+01,,,,
661,-8.00E-01,1.11E+01,,,,
662,-1.02E+00,1.11E+01,,,,
663,-8.16E-01,1.11E+01,,,,
664,-1.02E+00,1.11E+01,,,,
665,-7.76E-01,1.11E+01,,,,
666,-1.02E+00,1.11E+01,,,,
667,-7.84E-01,1.11E+01,,,,
668,-1.02E+00,1.11E+01,,,,
669,-7.92E-01,1.11E+01,,,,
670,-1.02E+00,1.11E+01,,,,
